R&D Spend,Administration,Marketing Spend,State,Profit
67378.54,152081.43,85132.81,Florida,99157.14
54305.37,101352.65,269605.7,Florida,103345.6
32045.03,120487.93,453560.05,Florida,81084.57
76788.81,126824.37,265409.25,Florida,123249.03
156213.81,93885.06,157757.26,Florida,177195.85
88660.88,130257.87,262103.34,New York,127879.02
38034.45,146348.13,194214.22,Florida,93551.97
61843.36,124686.85,0.0,Florida,87497.46
134526.8,165344.64,316933.63,New York,143607.26
44686.61,84647.14,231568.44,California,83962.36
131394.19,140697.22,286373.23,California,160530.09
53080.34,120791.71,42801.74,New York,76245.51
66906.03,76015.48,407674.79,Florida,115970.32
133647.49,123753.78,226679.16,Florida,164022.89
39460.77,113559.78,105632.51,Florida,73031.22
76347.9,142692.03,241804.82,California,110148.94
46306.04,77332.5,277615.08,California,84341.82
49168.88,135588.31,142408.18,California,94658.37
83896.48,159180.72,0.0,California,115641.94
175984.34,158102.58,262114.53,California,201363.36
62191.13,130129.86,393786.69,California,113597.11
94512.77,149880.71,280005.04,California,149560.09
17473.9,135888.47,122055.94,Florida,52263.75
80276.47,91849.91,121434.11,Florida,110708.74
11476.51,118896.03,523327.89,Florida,85238.5
115660.5,69527.84,0.0,Florida,144127.52
49449.43,76327.5,279224.39,New York,85772.5
41399.55,105075.58,187111.24,California,81142.54
83056.48,84029.22,310781.35,Florida,105595.48
90719.09,155395.52,64584.47,California,103529.53
45142.51,98463.14,230569.21,New York,81358.84
102322.75,95967.14,220864.57,New York,115323.13
51033.09,100451.0,306580.62,California,104096.25
42534.65,129611.48,332319.68,California,83926.11
20351.72,78729.29,66883.72,New York,58719.59
969.83,181136.78,74050.0,Florida,51297.35
137433.06,66040.56,358518.51,New York,169569.53
69227.98,146836.34,175884.1,California,103551.45
53268.61,106193.45,0.0,Florida,98881.53
26618.66,157764.18,342484.95,New York,80867.46
0.0,115291.18,148526.51,Florida,59325.84
25321.88,112878.86,272494.87,New York,75395.05
106701.12,108614.92,0.0,Florida,146735.61
129103.27,115424.54,0.0,Florida,164248.31
103072.71,159462.78,62025.89,New York,128276.72
57034.61,101741.89,164031.93,Florida,99322.9
40413.15,100728.59,270422.12,California,78243.18
26282.53,115548.87,45549.08,Florida,67449.71
0.0,196224.48,261653.71,Florida,51082.95
47524.46,49478.95,0.0,Florida,102576.67
109802.48,134034.99,66526.79,California,128005.67
72315.72,66977.29,460478.86,Florida,115679.93
98888.31,151620.14,275552.44,New York,146262.63
64209.76,102787.1,336917.24,New York,111153.78
66145.52,143781.27,125016.84,Florida,109536.48
87321.74,157450.01,400063.57,New York,131222.63
42925.61,177188.37,0.0,New York,81165.59
109758.82,155397.83,0.0,Florida,136034.42
29147.83,84513.23,84284.77,Florida,78387.89
130251.66,60237.32,195778.77,Florida,152429.69
118982.93,100354.01,59385.13,New York,140464.91
34579.55,96923.96,207737.26,Florida,86126.33
139866.26,171249.61,276191.88,Florida,175239.91
36049.39,126939.05,0.0,California,84391.17
63667.65,113666.89,48736.08,California,107784.01
66127.45,129182.34,357960.92,California,108444.38
103843.55,153892.36,250524.31,California,136753.44
152329.45,129670.83,138133.48,California,175560.94
75106.6,79963.99,248412.8,New York,130329.9
103713.1,161152.95,332322.67,New York,140228.01
67430.05,87387.25,0.0,New York,106882.43
89245.56,97616.0,135864.81,California,125418.61
10081.25,141310.2,386140.65,New York,71049.08
0.0,154541.97,221082.93,New York,58850.22
124714.28,138936.08,268563.76,Florida,169485.99
55561.78,127576.54,323925.69,New York,96602.4
20065.8,148539.58,180047.79,Florida,68328.38
42461.11,172970.48,439420.99,California,105882.7
144721.21,93820.81,257740.74,California,171950.4
133092.78,96256.83,174332.29,New York,158790.4
68189.3,163322.0,287391.94,California,99439.3
157973.28,155211.49,281494.56,California,183596.13
11163.49,141258.97,413868.93,California,49808.22
81460.13,149995.14,187424.79,New York,92802.44
37391.68,125681.98,251214.0,California,83475.37
154254.35,167421.67,155688.46,California,170045.05
57995.22,141549.63,189915.04,New York,89578.91
33167.61,131191.62,184256.87,California,88618.92
62847.75,101434.94,152387.77,Florida,103088.81
22326.74,72450.35,86738.71,California,71640.87
150511.92,153512.85,165395.4,California,178812.2
16725.56,129486.82,46795.63,New York,56021.81
147759.56,128664.07,139541.1,New York,165166.88
10257.52,161244.36,236425.94,California,59768.46
36050.33,86221.15,204005.49,New York,78440.49
165058.28,170433.91,85802.65,Florida,193250.94
76312.34,103392.64,203896.79,Florida,115524.82
122155.32,143407.08,0.0,New York,151862.53
29460.52,134089.35,221445.18,California,81949.41
156814.58,177343.11,55710.88,California,165067.85
29487.3,121194.94,159409.72,Florida,85140.9
12039.98,114056.02,179846.96,New York,55201.78
158845.98,151301.08,303684.18,California,180619.59
95748.32,97869.91,311966.84,Florida,129349.91
189308.21,126415.01,0.0,New York,206183.83
99517.82,149177.88,135008.75,Florida,131676.86
84683.7,135803.4,211728.53,Florida,123730.92
45719.99,132158.62,117521.06,New York,82169.09
99109.04,129482.28,201949.75,New York,133494.13
133594.45,93426.96,349020.2,Florida,152999.73
122942.24,141779.51,142388.1,California,154087.01
35556.66,105665.78,161304.2,Florida,84290.72
18559.64,175260.42,14553.46,Florida,56548.44
104005.73,112536.36,0.0,Florida,124921.96
86594.48,114163.6,149381.3,Florida,127783.93
113157.38,110857.96,139070.37,New York,140405.55
120465.9,84823.02,253472.81,Florida,156142.26
112767.05,130946.3,0.0,Florida,136294.33
29438.11,152050.86,196451.61,Florida,86691.59
56577.75,110870.04,209039.84,California,96461.74
92883.34,109273.22,301892.07,California,137718.09
96224.55,122422.62,229706.76,Florida,150100.91
97897.55,80525.5,179286.03,New York,115027.87
60258.95,76789.83,305360.13,California,99123.02
80480.99,88113.77,56894.81,Florida,113228.29
66050.2,123287.62,351683.52,New York,101397.39
84553.32,148392.93,271688.17,New York,111744.59
68725.95,93979.01,154297.87,New York,117996.28
153224.19,93208.5,305800.33,California,171469.73
31421.52,131141.27,208629.86,California,76668.39
65344.28,109152.11,0.0,Florida,80293.65
63715.77,63990.19,28861.8,New York,107259.4
64409.18,121535.14,0.0,California,101396.75
86841.88,112749.69,0.0,California,112565.96
68488.05,144346.97,140587.09,New York,102435.83
37549.47,151189.0,213605.11,Florida,81570.78
46898.96,162409.99,125150.28,New York,93798.32
143306.37,146896.56,145364.84,California,171696.39
92791.6,110888.22,280729.71,New York,110500.87
41042.63,115488.69,91515.93,New York,67757.94
32997.95,106747.22,393321.31,California,94971.42
0.0,127078.38,302903.14,California,55478.65
39877.94,74273.59,132871.67,New York,90947.38
64821.52,105530.95,285899.59,New York,105811.53
44290.08,113135.36,342207.78,New York,100951.7
43248.02,159966.35,180754.16,Florida,82420.44
84269.75,113788.53,201956.3,Florida,109248.34
75732.8,110133.19,226691.78,Florida,125963.54
137142.77,105752.23,185696.44,New York,173662.81
78773.38,163354.93,457466.82,New York,121259.43
21616.12,121496.98,153435.63,California,58733.87
57280.58,71314.58,168049.9,New York,86506.57
7688.46,48570.7,63249.28,New York,55786.39
94066.28,77774.49,74617.24,New York,149174.35
0.0,107026.04,129126.55,Florida,41351.26
34033.08,86356.66,106302.38,Florida,67126.89
81276.88,130342.27,167695.94,New York,126428.36
162710.72,87241.59,271156.12,New York,209680.83
5425.27,128382.42,267644.61,California,61066.05
55924.75,128809.2,169477.82,California,96508.32
103426.88,127369.34,169061.26,Florida,121819.43
35426.62,139089.92,123223.14,Florida,76326.9
104367.03,136222.1,248183.35,Florida,150755.06
150758.94,118386.54,379351.96,New York,189068.93
64430.99,117593.2,332518.1,California,114335.39
34535.53,183466.62,266721.81,California,91043.25
34278.9,161477.09,228087.33,California,88061.68
97036.69,141456.05,273514.28,New York,136093.11
95804.19,131029.36,292261.66,Florida,124493.59
72629.77,75849.86,13385.57,Florida,125651.42
109374.57,169192.86,0.0,Florida,139661.19
0.0,127260.6,387171.76,California,57278.83
672.62,100189.55,316701.77,California,51022.6
52397.4,101992.15,0.0,Florida,75960.3
67699.94,123532.92,213826.3,New York,120295.35
51974.62,137932.49,108197.27,California,107190.28
130020.47,127159.8,151507.02,California,159815.29
96690.64,150750.84,545112.94,Florida,132668.52
144477.6,136772.01,309355.85,New York,165740.33
74420.45,147835.39,85984.68,California,90099.86
54225.1,126473.09,83551.85,California,91282.37
116661.99,115069.02,302553.84,New York,155806.74
78760.54,134145.24,320401.58,New York,127256.35
129892.53,123803.67,234912.38,New York,177700.87
55078.05,54078.39,207372.48,Florida,85930.77
64203.9,82387.35,0.0,New York,87099.37
83714.85,84563.79,110402.65,California,130859.31
120939.81,119243.23,328568.45,California,167502.38
104298.18,116784.35,227767.71,California,134216.74
82459.58,117233.5,145153.99,California,115928.07
84167.22,162391.07,79992.38,California,122743.22
63333.83,93765.16,305329.34,California,85609.94
115255.61,95038.37,197816.29,New York,141496.28
121598.73,101278.52,264107.51,Florida,152745.08
39043.43,125109.94,74643.95,Florida,76111.62
78350.06,164308.59,330714.6,Florida,105881.12
89889.17,142660.39,255964.58,New York,135903.42
975.07,98365.27,121060.35,New York,44508.57
65730.63,167427.52,0.0,California,117422.94
93396.47,144643.33,450917.51,New York,127908.6
46556.66,130742.07,90668.43,New York,94596.69
76475.74,133503.71,86124.17,Florida,108432.48
94913.37,148729.56,201830.37,California,132083.89
82740.97,77771.24,0.0,New York,114563.72
75442.1,137558.47,456005.36,New York,119694.62
103469.7,126466.21,52728.53,Florida,133230.89
9015.7,113948.71,0.0,New York,33293.29
100906.61,100218.3,248539.22,Florida,135928.68
88800.9,109590.69,15225.15,Florida,111863.27
133565.43,98139.75,402692.33,California,160390.1
95890.98,171390.42,187914.05,New York,141061.41
63698.6,129832.32,338704.3,New York,115107.59
0.0,107755.28,267755.09,Florida,47042.83
36547.04,145859.6,0.0,New York,73728.86
73394.44,138403.25,484230.2,New York,116008.09
0.0,109624.95,0.0,New York,61441.12
41454.88,104766.44,212753.01,Florida,78058.99
37188.37,142038.3,264464.13,New York,75817.94
78533.56,137554.04,277515.65,California,140592.37
65461.58,126152.47,382963.15,Florida,105174.93
57322.38,25060.33,59408.81,Florida,100473.35
54177.51,123739.81,40842.7,Florida,83321.0
0.0,126862.71,153089.16,California,59369.58
44050.61,154999.24,0.0,New York,92507.77
47689.78,75119.19,0.0,California,101313.77
184343.37,103321.05,227242.45,New York,192439.2
24380.73,140187.88,71950.68,New York,73200.39
137195.68,97659.59,99221.98,Florida,166991.85
39589.76,88846.96,228217.66,Florida,101810.46
91130.04,134666.47,142094.81,Florida,120928.81
178253.7,134529.49,193308.71,Florida,191999.57
85090.94,176696.89,587515.67,New York,119262.42
65496.53,113732.71,237704.76,New York,102573.56
104466.85,106479.16,276401.1,California,130620.91
94352.42,129990.07,156696.66,New York,126874.54
104109.85,91065.0,164162.33,California,138300.35
59033.39,151171.98,254984.77,Florida,117243.55
74172.89,184855.17,444379.02,New York,123215.28
92851.01,134991.38,147342.67,Florida,126982.98
84169.68,150582.17,391840.07,California,133956.12
101758.93,140304.26,45660.82,Florida,126321.68
80237.32,72078.61,260497.11,Florida,125919.54
67480.12,149332.29,188576.78,Florida,99656.86
63117.19,155670.2,70488.69,California,103512.73
66747.15,159821.9,349836.8,California,115087.17
103777.27,133117.91,190675.5,California,138944.8
71797.84,124481.5,97309.05,New York,115165.26
120764.29,70138.39,98497.37,Florida,151683.71
185229.23,141945.71,376249.32,California,206577.84
91713.3,119031.88,233505.27,Florida,140453.38
130420.83,154348.27,333741.93,New York,145560.55
81421.21,117631.07,89118.92,Florida,119880.14
89198.3,132181.06,50440.75,New York,121077.4
50961.1,138574.89,191306.7,Florida,91703.17
96327.8,110655.57,261925.59,California,124244.86
67317.72,130124.27,233985.68,Florida,107721.04
134915.34,128662.89,26477.5,California,151642.21
85694.72,129505.3,182647.4,Florida,120011.62
62718.13,114512.94,295498.83,California,119931.4
119030.47,132657.6,265809.11,Florida,157825.05
42243.26,130505.66,0.0,Florida,73899.43
75445.55,140297.6,185685.31,New York,119760.47
56052.88,149062.26,182324.27,California,81947.3
0.0,136275.71,233330.38,California,66095.43
73740.76,85523.02,262730.02,Florida,114273.94
42379.75,107667.28,385792.97,New York,105059.73
77596.88,143780.26,277180.67,New York,132890.74
0.0,145127.7,106111.06,New York,44756.18
99596.32,136915.8,284440.02,New York,140708.03
74132.32,150880.28,0.0,California,118624.6
78546.3,112351.56,308228.06,California,136999.17
22333.01,134481.4,98876.26,California,65234.5
0.0,165579.88,154543.99,New York,50882.67
152999.62,113550.22,262472.02,Florida,178434.38
4323.34,82025.12,0.0,California,56717.95
34336.93,87346.49,242322.08,New York,82382.23
1653.08,69202.66,342488.72,New York,68268.0
45644.02,91894.86,167582.71,Florida,89498.43
85165.31,95913.73,102633.37,California,115349.78
27493.04,122243.33,343284.32,Florida,84682.65
60104.03,119952.15,205492.57,Florida,94153.18
61790.82,131442.48,253373.81,New York,108391.87
130272.75,125006.4,204594.25,Florida,168138.57
85821.79,71176.85,167230.0,Florida,132676.87
37367.13,119582.71,177648.25,New York,90189.93
103878.75,134204.99,206594.76,New York,138997.51
60326.58,158682.52,0.0,Florida,99960.76
80583.75,113487.87,103873.84,Florida,127737.66
132312.99,148193.47,0.0,Florida,155550.76
87609.69,161456.6,42884.18,Florida,118469.09
47408.94,161158.19,0.0,California,84740.99
137814.17,132709.91,106780.74,New York,174483.9
23684.79,89471.44,16139.34,Florida,56073.23
164140.36,136041.52,260930.72,California,185010.89
18414.55,93945.96,324003.37,Florida,74711.85
17892.97,147487.92,315192.97,California,61127.4
142759.27,135512.08,335788.45,California,160985.02
114175.28,126110.81,278002.37,New York,145009.41
132357.52,146259.57,55299.9,California,163597.78
98131.5,141110.25,302976.73,California,125246.2
138917.29,108583.87,202988.13,California,172948.35
64447.43,133702.2,345548.26,California,95847.73
59063.98,169234.71,223590.91,New York,102227.74
88088.03,134360.34,25126.85,Florida,124878.82
101552.76,93145.7,0.0,Florida,127285.57
60274.81,151837.2,0.0,New York,100123.5
134109.56,132073.24,343100.53,New York,166184.29
121211.39,125363.28,213918.83,Florida,142817.78
92291.74,167152.27,437883.85,Florida,130094.96
99190.4,80550.08,228115.23,California,143996.83
98683.02,140532.82,0.0,Florida,140009.35
53836.3,150710.18,148146.74,Florida,94849.99
119683.42,158552.1,259946.14,New York,140329.1
99299.44,96941.92,326347.83,California,140610.19
81404.43,110230.48,0.0,Florida,120251.24
96431.46,94155.91,581708.17,New York,151618.63
87343.65,103390.56,237536.6,Florida,117041.31
66950.68,147182.9,242654.36,California,107094.99
190165.22,154983.7,150078.57,New York,205513.35
110998.8,120412.35,266076.59,California,140436.04
34466.82,65450.46,59527.39,California,71858.15
65647.04,103049.77,125692.85,California,114583.64
0.0,109934.25,152425.45,New York,47010.1
57729.99,99987.87,54115.62,New York,102964.82
141908.95,119234.0,63645.62,California,164027.04
69130.32,130027.45,206465.94,Florida,106922.39
44841.29,169573.79,172135.05,Florida,87931.6
26505.16,121803.66,168404.81,New York,43355.0
6972.39,109572.04,336423.38,California,65269.13
41513.77,133378.85,0.0,New York,96855.57
147606.68,182885.19,191770.89,Florida,170212.35
81470.74,102768.82,162471.23,New York,109385.91
41229.17,133603.66,158922.1,New York,97908.34
166195.36,155911.37,142977.75,California,177382.97
63246.37,154065.75,234524.01,California,104533.99
0.0,191505.17,286618.08,New York,55413.67
90771.82,158900.0,294423.08,New York,114775.88
85077.38,93615.29,116170.94,Florida,111029.96
43377.1,129448.96,188346.82,New York,93300.82
119108.76,159401.96,284538.98,California,159938.31
57120.42,104720.48,76646.7,Florida,95612.18
